"team","conference","tier","logo_url","wordmark_url","primary","secondary"
"Missouri State","Conference USA","FCS","http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1731_missouri_state__bears-alternate-2006.png","#5F0000","#e8e8e8"
"New Mexico State","Conference USA","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_state_aggies_logo_wordmark_20056268.png","#891216","#000000"
"Sam Houston","Conference USA","hoopR","https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7125_sam_houston_state_bearkats-wordmark-2020.png","#fe5000","#000000"
"UTEP","Conference USA","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2713_utep-wordmark.png","#002843","#ff6f12"
"Western Kentucky","Conference USA","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/98.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/western_kentucky_hilltoppers_logo_wordmark_2017_sportslogosnet-6489.png","#F32026","#b3b5b8"
"Notre Dame","FBS Independents","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/notre_dame_fighting_irish_logo_wordmark_2015_sportslogosnet-5359.png","#00122b","#ae9142"
"UConn","FBS Independents","hoopR","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uconn_huskies_logo_alternate_20132910.png","#001d40","#f1f2f3"
"Akron","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/akron_zips_logo_wordmark_2022_sportslogosnet-1159.png","#00285e","#84754e"
"Ball State","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/ball_state_cardinals_logo_wordmark_2015_sportslogosnet-7204.png","#DA0000","#ffffff"
"Bowling Green","Mid-American","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/189.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/bowling_green_falcons_logo_wordmark_20148415.png","#2b1000","#492000"
